Player;Season;Decade;Age;Team;Team_Win_Percentage;Games_Played_Percentage;Games_Started_Percentage;Player_Ranking;Minutes_Played_per_Game;Points_per_Game;Rebounds_per_Game ;Assists_per_Game ;Steals_per_Game;Blocks_per_Game;Turnovers_per_Game;Personal_Fouls_per_Game ;Field_Goals_Made_per_Game;Field_Goals_Attempted_per_Game;FG_Percentage;eFG_Percentage;Free_Throws_Made_per_Game;Free_Throws_Attempted_per_Game;FT_Percentage;TS_Percentage;PER;WS_per_48_Minutes;BPM;MVP_Share;MVP
Jeff Malone;1989-90;1990s;28;WSB;0.378;0.915;0.987;2;34.2;24.3;2.7;3.2;0.6;0.1;1.7;1.5;10.4;21.2;0.491;0.491;3.4;3.9;0.877;0.529;18.5;0.098;-2.1;0;0
Dominique Wilkins;1990-91;1990s;31;ATL;0.524;0.988;1;1;38;25.9;9;3.3;1.5;0.8;2.5;1.9;9.5;20.2;0.47;0.495;5.9;7.1;0.829;0.555;23.5;0.177;4.7;0.03;0
Larry Bird;1990-91;1990s;34;BOS;0.683;0.732;1;1;38;19.4;8.5;7.2;1.8;1;3.1;2;7.7;17;0.454;0.492;2.7;3.1;0.891;0.53;19.7;0.14;4.7;0.026;0
Kevin McHale;1990-91;1990s;33;BOS;0.683;0.829;0.147;3;30.4;18.4;7.1;1.9;0.4;2.1;2.1;2.9;7.4;13.4;0.553;0.561;3.4;4;0.829;0.606;21.2;0.182;2.5;0.001;0
Robert Parish;1990-91;1990s;37;BOS;0.683;0.988;1;2;30.1;14.9;10.6;0.8;0.8;1.3;1.9;2.4;6;10;0.598;0.598;2.9;3.8;0.767;0.637;20.6;0.198;1.7;0.01;0
Michael Jordan;1990-91;1990s;27;CHI;0.744;1;1;1;37;31.5;6;5.5;2.7;1;2.5;2.8;12.1;22.4;0.539;0.547;7;8.2;0.851;0.605;31.6;0.321;10.8;0.928;1
Scottie Pippen;1990-91;1990s;25;CHI;0.744;1;1;2;36.8;17.8;7.3;6.2;2.4;1.1;2.8;3.3;7.3;14.1;0.52;0.529;2.9;4.1;0.706;0.561;20.6;0.179;6.3;0;0
Horace Grant;1990-91;1990s;25;CHI;0.744;0.951;0.974;3;33.9;12.8;8.4;2.3;1.2;0.9;1.2;2.6;5.1;9.4;0.547;0.548;2.5;3.6;0.711;0.585;17.6;0.188;4.4;0;0
Brad Daugherty;1990-91;1990s;25;CLE;0.402;0.927;1;1;38.8;21.6;10.9;3.3;1;0.6;2.8;2.5;8;15.2;0.524;0.524;5.7;7.6;0.751;0.583;19.9;0.147;2.2;0;0
Larry Nance;1990-91;1990s;31;CLE;0.402;0.976;0.975;2;36.6;19.2;8.6;3;0.8;2.5;1.6;2.7;7.9;15.1;0.524;0.525;3.3;4.1;0.803;0.567;20.6;0.16;3.9;0;0
Derek Harper;1990-91;1990s;29;DAL;0.341;0.939;1;1;37.4;19.7;3;7.1;1.9;0.2;2.3;2.9;7.4;15.9;0.467;0.503;3.7;5.1;0.731;0.543;19.4;0.127;2.8;0;0
Michael Adams;1990-91;1990s;28;DEN;0.244;0.805;1;1;35.5;26.5;3.9;10.5;2.2;0.1;3.6;2.5;8.5;21.5;0.394;0.453;7;8;0.879;0.53;22.3;0.128;4.4;0;0
Orlando Woolridge;1990-91;1990s;31;DEN;0.244;0.646;0.943;2;34.4;25.1;6.8;2.2;1.3;0.4;2.9;2.7;9.2;18.5;0.498;0.498;6.6;8.3;0.797;0.565;19.5;0.102;-0.5;0;0
Joe Dumars;1990-91;1990s;27;DET;0.61;0.976;1;2;38.1;20.4;2.3;5.5;1.1;0.1;2.4;1.7;7.8;16.2;0.481;0.487;4.6;5.2;0.89;0.552;18;0.155;1.8;0.008;0
Isiah Thomas;1990-91;1990s;29;DET;0.61;0.585;0.958;1;34.5;16.2;3.3;9.3;1.6;0.2;3.9;2.5;6;13.9;0.435;0.449;3.7;4.8;0.782;0.507;17.4;0.098;1.8;0.011;0
Chris Mullin;1990-91;1990s;27;GSW;0.537;1;1;1;40.4;25.7;5.4;4;2.1;0.8;3;2.1;9.5;17.7;0.536;0.55;6.3;7.1;0.884;0.618;21.4;0.176;4.5;0;0
Mitch Richmond;1990-91;1990s;25;GSW;0.537;0.939;1;3;39.3;23.9;5.9;3.1;1.6;0.4;3;2.7;9.1;18.5;0.494;0.508;5.1;6;0.847;0.565;17.8;0.113;1;0;0
Tim Hardaway;1990-91;1990s;24;GSW;0.537;1;1;2;39.2;22.9;4;9.7;2.6;0.1;3.3;2.8;9;18.9;0.476;0.508;3.7;4.6;0.803;0.547;20.9;0.148;4;0.001;0
Hakeem Olajuwon;1990-91;1990s;28;HOU;0.634;0.683;0.893;1;36.8;21.2;13.8;2.3;2.2;3.9;3.1;3.9;8.7;17.1;0.508;0.508;3.8;4.9;0.769;0.549;24.3;0.201;6.3;0.004;0
Kenny Smith;1990-91;1990s;25;HOU;0.634;0.951;1;2;34.6;17.7;2.1;7.1;1.4;0.1;3;1.7;6.7;12.9;0.52;0.545;3.7;4.4;0.844;0.599;18.3;0.161;0.7;0.005;0
Otis Thorpe;1990-91;1990s;28;HOU;0.634;1;1;3;37.1;17.5;10.3;2.4;0.9;0.2;2.6;3.4;6.7;12;0.556;0.557;4.1;5.9;0.696;0.598;17.2;0.164;2.6;0;0
Reggie Miller;1990-91;1990s;25;IND;0.5;1;1;1;36.2;22.6;3.4;4;1.3;0.2;2;2;7.3;14.2;0.512;0.56;6.7;7.3;0.918;0.65;21.2;0.202;4;0;0
Detlef Schrempf;1990-91;1990s;28;IND;0.5;1;0.037;2;32.1;16.1;8;3.7;0.7;0.3;2.1;3.2;5.3;10.1;0.52;0.529;5.4;6.6;0.818;0.618;18.6;0.165;2.6;0;0
James Worthy;1990-91;1990s;29;LAL;0.707;0.951;0.949;2;38.6;21.4;4.6;3.5;1.3;0.4;1.6;1.5;9.2;18.7;0.492;0.501;2.7;3.4;0.797;0.531;18.1;0.143;2.3;0;0
Magic Johnson;1990-91;1990s;31;LAL;0.707;0.963;1;1;37.1;19.4;7;12.5;1.3;0.2;4;1.9;5.9;12.4;0.477;0.518;6.6;7.3;0.906;0.623;25.1;0.251;8.3;0.518;0
Alvin Robertson;1990-91;1990s;28;MIL;0.585;0.988;1;1;32.1;13.6;5.7;5.5;3;0.2;2.6;3.4;5.4;11.2;0.485;0.497;2.5;3.2;0.757;0.538;18.6;0.142;6.1;0;0
Patrick Ewing;1990-91;1990s;28;NYK;0.476;0.988;1;1;38.3;26.6;11.2;3;1;3.2;3.6;3.5;10.4;20.3;0.514;0.514;5.7;7.7;0.745;0.561;23.7;0.155;3.9;0.021;0
Charles Barkley;1990-91;1990s;27;PHI;0.537;0.817;1;1;37.3;27.6;10.1;4.2;1.6;0.5;3.1;2.6;9.9;17.4;0.57;0.589;7.1;9.8;0.722;0.635;28.9;0.258;9.9;0.231;0
Hersey Hawkins;1990-91;1990s;24;PHI;0.537;0.976;1;2;38.9;22.1;3.9;3.7;2.2;0.5;2.7;2.3;7.4;15.6;0.472;0.515;6;6.9;0.871;0.592;19.4;0.151;3.5;0;0
Kevin Johnson;1990-91;1990s;24;PHO;0.671;0.939;0.987;1;36;22.2;3.5;10.1;2.1;0.1;3.5;2.3;7.7;14.9;0.516;0.52;6.7;8;0.843;0.604;23.7;0.22;5.2;0.033;0
Jeff Hornacek;1990-91;1990s;27;PHO;0.671;0.976;0.963;2;34.2;16.9;4;5.1;1.4;0.2;1.6;2.3;6.8;13.1;0.518;0.547;2.5;2.8;0.897;0.587;17.8;0.171;3.7;0;0
Clyde Drexler;1990-91;1990s;28;POR;0.768;1;1;1;34.8;21.5;6.7;6;1.8;0.7;2.8;2.8;7.9;16.3;0.482;0.505;5.1;6.4;0.794;0.563;22.1;0.209;7.3;0.078;0
Terry Porter;1990-91;1990s;27;POR;0.768;0.988;1;2;32.9;17;3.5;8;2;0.1;2.3;1.9;6;11.7;0.515;0.584;3.4;4.2;0.823;0.632;21.7;0.235;6.1;0.026;0
David Robinson;1990-91;1990s;25;SAS;0.671;1;0.988;1;37.7;25.6;13;2.5;1.5;3.9;3.3;3.2;9.2;16.7;0.552;0.552;7.2;9.5;0.762;0.615;27.4;0.264;8.4;0.496;0
Karl Malone;1990-91;1990s;27;UTA;0.659;1;1;1;40.3;29;11.8;3.3;1.1;1;3;3.3;10.3;19.6;0.527;0.528;8.3;10.8;0.77;0.596;24.8;0.225;5.8;0.148;0
John Stockton;1990-91;1990s;28;UTA;0.659;1;1;2;37.8;17.2;2.9;14.2;2.9;0.2;3.6;2.8;6;11.9;0.507;0.537;4.4;5.3;0.836;0.604;23.4;0.217;4.4;0.016;0
Bernard King;1990-91;1990s;34;WSB;0.366;0.78;1;1;37.5;28.4;5;4.6;0.9;0.3;4;2.9;11.1;23.6;0.472;0.475;6;7.6;0.79;0.527;19.1;0.07;0.1;0.007;0
Dominique Wilkins;1991-92;1990s;32;ATL;0.463;0.512;1;1;38.1;28.1;7;3.8;1.2;0.6;2.9;1.8;10.1;21.8;0.464;0.484;7;8.4;0.835;0.552;22.2;0.152;3;0;0
Kevin Willis;1991-92;1990s;29;ATL;0.463;0.988;0.988;2;36.6;18.3;15.5;2.1;0.9;0.7;2.4;2.8;7.3;15.1;0.483;0.485;3.6;4.5;0.804;0.535;19.7;0.143;1;0;0
Reggie Lewis;1991-92;1990s;26;BOS;0.622;1;1;2;37.4;20.8;4.8;2.3;1.5;1.3;1.7;3.1;8.6;17;0.503;0.505;3.6;4.2;0.851;0.55;17.9;0.143;2.4;0;0
Larry Bird;1991-92;1990s;35;BOS;0.622;0.549;1;1;36.9;20.2;9.6;6.8;0.9;0.7;2.8;1.8;7.8;16.8;0.466;0.5;3.3;3.6;0.926;0.547;21;0.159;5.5;0.003;0
Larry Johnson;1991-92;1990s;22;CHH;0.378;1;0.939;1;37.2;19.2;11;3.6;1;0.6;2;2.7;7.5;15.3;0.49;0.492;4.1;5;0.829;0.548;18.9;0.14;2.8;0;0
Michael Jordan;1991-92;1990s;28;CHI;0.817;0.976;1;1;38.8;30.1;6.4;6.1;2.3;0.9;2.5;2.5;11.8;22.7;0.519;0.526;6.1;7.4;0.832;0.579;27.7;0.274;8.6;0.938;1
Scottie Pippen;1991-92;1990s;26;CHI;0.817;1;1;2;38.6;21;7.7;7;1.9;1.1;3.1;3;8.4;16.6;0.506;0.511;4;5.3;0.76;0.555;21.5;0.192;6.5;0.033;0
Horace Grant;1991-92;1990s;26;CHI;0.817;0.988;1;3;35.3;14.2;10;2.7;1.2;1.6;1.2;2.4;5.6;9.8;0.578;0.578;2.9;3.9;0.741;0.618;20.6;0.237;7.3;0;0
Brad Daugherty;1991-92;1990s;26;CLE;0.695;0.89;1;2;36.2;21.5;10.4;3.6;0.9;1.1;2.5;2.6;7.9;13.8;0.57;0.57;5.7;7.3;0.777;0.629;23;0.213;5;0.025;0
Mark Price;1991-92;1990s;27;CLE;0.695;0.878;1;1;29.7;17.3;2.4;7.4;1.3;0.2;2.2;1.6;6.1;12.5;0.488;0.545;3.8;4;0.947;0.61;22.7;0.205;3.8;0.069;0
Larry Nance;1991-92;1990s;32;CLE;0.695;0.988;1;3;35.6;17;8.3;2.9;1;3;1.1;2.5;6.9;12.7;0.539;0.539;3.2;4;0.822;0.586;21.4;0.204;5.8;0;0
Dennis Rodman;1991-92;1990s;30;DET;0.585;1;0.976;1;40.3;9.8;18.7;2.3;0.8;0.9;1.7;3;4.2;7.7;0.539;0.564;1;1.7;0.6;0.574;17;0.183;4.9;0.027;0
Chris Mullin;1991-92;1990s;28;GSW;0.671;0.988;1;1;41.3;25.6;5.6;3.5;2.1;0.8;2.5;2.1;10.2;19.6;0.524;0.544;4.3;5.2;0.833;0.586;19.9;0.155;3.5;0.084;0
Tim Hardaway;1991-92;1990s;25;GSW;0.671;0.988;1;2;41.1;23.4;3.8;10;2;0.2;3.3;2.6;9.1;19.7;0.461;0.501;3.7;4.8;0.766;0.537;19.1;0.132;2.6;0.067;0
Sarunas Marciulionis;1991-92;1990s;27;GSW;0.671;0.878;0.069;3;29.4;18.9;2.9;3.4;1.6;0.1;2.7;3.3;6.8;12.7;0.538;0.54;5.2;6.6;0.788;0.607;18.8;0.144;0.9;0;0
Hakeem Olajuwon;1991-92;1990s;29;HOU;0.512;0.854;0.986;1;37.7;21.6;12.1;2.2;1.8;4.3;2.7;3.8;8.4;16.8;0.502;0.502;4.7;6.1;0.766;0.553;23.7;0.178;5;0;0
Otis Thorpe;1991-92;1990s;29;HOU;0.512;1;1;2;37.3;17.3;10.5;3;0.6;0.5;2.9;3.7;6.8;11.5;0.592;0.592;3.7;5.6;0.657;0.619;17.2;0.14;2.5;0;0
Reggie Miller;1991-92;1990s;26;IND;0.488;1;1;1;38;20.7;3.9;3.8;1.3;0.3;1.9;2.6;6.9;13.7;0.501;0.559;5.4;6.3;0.858;0.629;17.6;0.169;2.9;0;0
Detlef Schrempf;1991-92;1990s;29;IND;0.488;0.976;0.05;2;32.6;17.3;9.6;3.9;0.8;0.5;2.4;3.6;6.2;11.6;0.536;0.549;4.6;5.5;0.828;0.617;19.5;0.181;3.7;0.001;0
Micheal Williams;1991-92;1990s;25;IND;0.488;0.963;0.962;3;34.8;15;3.6;8.2;2.9;0.3;3;3.3;5.1;10.4;0.49;0.495;4.7;5.4;0.871;0.587;18.4;0.156;2.9;0;0
Danny Manning;1991-92;1990s;25;LAC;0.549;1;1;1;35.4;19.3;6.9;3.5;1.6;1.5;2.6;3.6;7.9;14.6;0.542;0.542;3.4;4.7;0.725;0.577;19.7;0.162;5.5;0.001;0
Glen Rice;1991-92;1990s;24;MIA;0.463;0.963;1;1;38.1;22.3;5;2.3;1.1;0.4;1.8;2.2;8.5;18.1;0.469;0.523;3.4;4;0.836;0.561;17.5;0.126;1.2;0;0
Derrick Coleman;1991-92;1990s;24;NJN;0.488;0.793;0.892;1;34;19.8;9.5;3.2;0.8;1.5;3.8;2.6;7.4;14.7;0.504;0.516;4.6;6;0.763;0.57;19.5;0.121;1.9;0;0
Patrick Ewing;1991-92;1990s;29;NYK;0.622;1;1;1;38.4;24;11.2;1.9;1.1;3;2.5;3.4;9.7;18.6;0.522;0.522;4.6;6.2;0.738;0.563;22.8;0.198;4;0.104;0
Charles Barkley;1991-92;1990s;28;PHI;0.427;0.915;1;1;38.4;23.1;11.1;4.1;1.8;0.6;3.1;2.6;8.3;15;0.552;0.567;6.1;8.7;0.695;0.612;24.5;0.205;7.4;0.019;0
Jeff Hornacek;1991-92;1990s;28;PHO;0.646;0.988;1;2;38;20.1;5;5.1;2;0.4;2.1;2.7;7.8;15.3;0.512;0.546;3.4;3.9;0.886;0.592;18.9;0.181;5.1;0;0
Kevin Johnson;1991-92;1990s;25;PHO;0.646;0.951;1;1;37.2;19.7;3.7;10.7;1.5;0.3;3.5;2.3;6.9;14.4;0.479;0.484;5.7;7.1;0.807;0.561;19.9;0.165;2.2;0.002;0
Dan Majerle;1991-92;1990s;26;PHO;0.646;1;0.183;3;34.8;17.3;5.9;3.3;1.6;0.5;1.2;1.9;6.7;14.1;0.478;0.516;2.8;3.7;0.756;0.551;17.8;0.165;4.1;0;0
Clyde Drexler;1991-92;1990s;29;POR;0.695;0.927;1;1;36.2;25;6.6;6.7;1.8;0.9;3.2;3;9.1;19.4;0.47;0.509;5.3;6.6;0.794;0.56;23.6;0.223;8.4;0.584;0
Terry Porter;1991-92;1990s;28;POR;0.695;1;1;2;34;18.1;3.1;5.8;1.5;0.1;2.3;1.9;6.4;13.8;0.461;0.518;3.8;4.5;0.856;0.575;18.1;0.182;3.1;0;0
David Robinson;1991-92;1990s;26;SAS;0.573;0.829;1;1;37.7;23.2;12.2;2.7;2.3;4.5;2.7;3.2;8.7;15.8;0.551;0.552;5.8;8.3;0.701;0.597;27.5;0.26;10;0.351;0
Terry Cummings;1991-92;1990s;30;SAS;0.573;0.854;0.957;2;30.7;17.3;9;1.5;0.8;0.5;1.6;3;7.3;15;0.488;0.491;2.5;3.6;0.711;0.52;18.5;0.145;0.1;0;0
Ricky Pierce;1991-92;1990s;32;SEA;0.573;0.951;1;1;34.1;21.7;3;3.1;1.1;0.3;2.4;2.7;7.9;16.7;0.475;0.487;5.3;5.8;0.916;0.561;18.2;0.142;0.6;0;0
Shawn Kemp;1991-92;1990s;22;SEA;0.573;0.78;0.359;2;28.3;15.5;10.4;1.3;1.1;1.9;2.4;4.1;5.7;11.2;0.504;0.504;4.2;5.6;0.748;0.567;21.6;0.177;2.9;0;0
Karl Malone;1991-92;1990s;28;UTA;0.671;0.988;1;1;37.7;28;11.2;3;1.3;0.6;3.1;2.8;9.9;18.7;0.526;0.527;8.3;10.7;0.778;0.599;25.4;0.237;5.3;0.273;0
John Stockton;1991-92;1990s;29;UTA;0.671;1;1;2;36.6;15.8;3.3;13.7;3;0.3;3.5;2.9;5.5;11.5;0.482;0.527;3.8;4.5;0.842;0.59;22.8;0.215;5.1;0.019;0
Pervis Ellison;1991-92;1990s;24;WSB;0.305;0.805;0.97;1;38;20;11.2;2.9;0.9;2.7;3;3.4;8.3;15.4;0.539;0.54;3.4;4.7;0.728;0.574;19.9;0.131;3.1;0;0
Dominique Wilkins;1992-93;1990s;33;ATL;0.524;0.866;0.986;1;37.3;29.9;6.8;3.2;1;0.4;2.6;1.6;10.4;22.3;0.468;0.506;7.3;8.8;0.828;0.57;24.3;0.191;3.6;0.055;0
Reggie Lewis;1992-93;1990s;27;BOS;0.585;0.976;1;1;39.3;20.8;4.3;3.7;1.5;1;1.7;3.1;8.3;17.6;0.47;0.475;4.1;4.7;0.867;0.529;17.4;0.127;2.4;0;0
Larry Johnson;1992-93;1990s;23;CHH;0.537;1;1;1;40.5;22.1;10.5;4.3;0.6;0.3;2.8;2.3;8.9;16.9;0.526;0.532;4.1;5.3;0.767;0.574;18.9;0.139;3.4;0;0
Alonzo Mourning;1992-93;1990s;22;CHH;0.537;0.951;1;2;33.9;21;10.3;1;0.3;3.5;3;3.7;7.3;14.3;0.511;0.511;6.3;8.1;0.781;0.586;20.8;0.148;0.2;0;0
Michael Jordan;1992-93;1990s;29;CHI;0.695;0.951;1;1;39.3;32.6;6.7;5.5;2.8;0.8;2.7;2.4;12.7;25.7;0.495;0.515;6.1;7.3;0.837;0.564;29.7;0.27;9.5;0.577;0
Scottie Pippen;1992-93;1990s;27;CHI;0.695;0.988;1;2;38.6;18.6;7.7;6.3;2.1;0.9;3;2.7;7.8;16.4;0.473;0.482;2.9;4.3;0.663;0.51;19.2;0.132;4.3;0;0
Brad Daugherty;1992-93;1990s;27;CLE;0.659;0.866;1;2;37.9;20.2;10.2;4.4;0.7;0.8;2.1;2.5;7.3;12.8;0.571;0.571;5.5;6.9;0.795;0.635;22;0.226;5.2;0.001;0
Mark Price;1992-93;1990s;28;CLE;0.659;0.915;0.987;1;31.7;18.2;2.7;8;1.2;0.1;2.6;1.4;6.4;13.1;0.484;0.546;3.9;4.1;0.948;0.609;22.1;0.197;3.2;0.01;0
Larry Nance;1992-93;1990s;33;CLE;0.659;0.939;1;3;35.8;16.5;8.7;2.9;0.7;2.6;1.4;2.9;6.9;12.6;0.549;0.549;2.6;3.2;0.818;0.587;19.8;0.187;4.4;0;0
Dikembe Mutombo;1992-93;1990s;26;DEN;0.439;1;1;1;36.9;13.8;13;1.8;0.5;3.5;2.6;3.5;4.9;9.5;0.51;0.51;4.1;6;0.681;0.567;17.2;0.139;2.7;0;0
Joe Dumars;1992-93;1990s;29;DET;0.488;0.939;1;1;40.2;23.5;1.9;4;1;0.1;1.8;1.8;8.8;18.9;0.466;0.504;4.5;5.2;0.864;0.555;17.6;0.141;1.4;0.001;0
Chris Mullin;1992-93;1990s;29;GSW;0.415;0.561;1;2;41.3;25.9;5;3.6;1.5;0.9;3;1.7;10.3;20.2;0.51;0.542;4;4.9;0.81;0.578;19;0.122;1.7;0;0
Tim Hardaway;1992-93;1990s;26;GSW;0.415;0.805;1;1;39.5;21.5;4;10.6;1.8;0.2;3.3;2.3;7.9;17.7;0.447;0.491;4.1;5.6;0.744;0.534;19.7;0.138;2.8;0;0
Hakeem Olajuwon;1992-93;1990s;30;HOU;0.671;1;1;1;39.5;26.1;13;3.5;1.8;4.2;3.2;3.7;10.3;19.5;0.529;0.529;5.4;7;0.779;0.577;27.3;0.234;8.4;0.66;0
Reggie Miller;1992-93;1990s;27;IND;0.5;1;1;1;36;21.2;3.1;3.2;1.5;0.3;1.8;2.2;7;14.5;0.479;0.549;5.2;5.9;0.88;0.617;19.4;0.183;3.8;0;0
Detlef Schrempf;1992-93;1990s;30;IND;0.5;1;0.732;2;37.8;19.1;9.5;6;1;0.3;3;3.7;6.3;13.2;0.476;0.48;6.4;8;0.804;0.571;19.2;0.161;4.1;0;0
Danny Manning;1992-93;1990s;26;LAC;0.5;0.963;0.975;1;34.9;22.8;6.6;2.6;1.4;1.3;2.9;4.1;8.9;17.5;0.509;0.512;4.9;6.1;0.802;0.565;19.6;0.137;2.1;0;0
Drazen Petrovic;1992-93;1990s;28;NJN;0.524;0.854;0.957;2;38;22.3;2.7;3.5;1.3;0.2;2.9;3.4;8.4;16.2;0.518;0.551;4.5;5.2;0.87;0.605;17.3;0.152;2;0;0
Derrick Coleman;1992-93;1990s;25;NJN;0.524;0.927;0.961;1;36.3;20.7;11.2;3.6;1.2;1.7;3.2;2.8;7.4;16.1;0.46;0.469;5.5;6.9;0.808;0.54;21.2;0.165;4.8;0;0
Patrick Ewing;1992-93;1990s;30;NYK;0.732;0.988;1;1;37.1;24.2;12.1;1.9;0.9;2;3.3;3.5;9.6;19.1;0.503;0.503;4.9;6.9;0.719;0.546;20.8;0.17;2.2;0.366;0
Shaquille O'Neal;1992-93;1990s;20;ORL;0.5;0.988;1;1;37.9;23.4;13.9;1.9;0.7;3.5;3.8;4;9;16.1;0.562;0.562;5.3;8.9;0.592;0.584;22.9;0.163;3.7;0.031;0
Hersey Hawkins;1992-93;1990s;26;PHI;0.317;0.988;1;1;36.8;20.3;4.3;3.9;1.7;0.4;2.2;2.3;6.8;14.5;0.47;0.522;5.2;6;0.86;0.593;18.3;0.138;2.8;0;0
Charles Barkley;1992-93;1990s;29;PHO;0.756;0.927;1;1;37.6;25.6;12.2;5.1;1.6;1;3.1;2.6;9.4;18.1;0.52;0.545;5.9;7.7;0.765;0.596;25.9;0.242;8.3;0.852;1
Dan Majerle;1992-93;1990s;27;PHO;0.756;1;1;2;39;16.9;4.7;3.8;1.7;0.4;1.6;2.2;6.2;13.4;0.464;0.541;2.5;3.2;0.778;0.573;15.4;0.147;4;0;0
Clyde Drexler;1992-93;1990s;30;POR;0.622;0.598;1;1;34.1;19.9;6.3;5.7;1.9;0.8;2.3;3.2;7.1;16.7;0.429;0.448;5;6;0.839;0.517;20.7;0.171;6.1;0.001;0
David Robinson;1992-93;1990s;27;SAS;0.598;1;1;1;39.2;23.4;11.7;3.7;1.5;3.2;2.9;2.9;8.2;16.4;0.501;0.503;6.8;9.3;0.732;0.569;24.2;0.197;6.7;0.034;0
Ricky Pierce;1992-93;1990s;33;SEA;0.671;0.939;0.935;2;28.8;18.2;2.5;2.9;1.3;0.1;2.1;2.2;6.8;13.9;0.489;0.509;4.1;4.6;0.889;0.572;19.2;0.167;1.1;0;0
Shawn Kemp;1992-93;1990s;23;SEA;0.671;0.951;0.872;1;33.1;17.8;10.7;2;1.5;1.9;2.8;4.2;6.6;13.4;0.492;0.492;4.6;6.4;0.712;0.547;20.4;0.169;3.2;0.001;0
Karl Malone;1992-93;1990s;29;UTA;0.573;1;1;1;37.8;27;11.2;3.8;1.5;1;2.9;3.2;9.7;17.6;0.552;0.554;7.5;10.2;0.74;0.612;26.2;0.238;7.6;0.01;0
John Stockton;1992-93;1990s;30;UTA;0.573;1;1;1;34.9;15.1;2.9;12;2.4;0.3;3.2;2.7;5.3;11;0.486;0.526;3.6;4.5;0.798;0.584;21.3;0.177;3.3;0.001;0
Kevin Willis;1993-94;1990s;31;ATL;0.695;0.976;1;2;35.8;19.1;12;1.9;1;0.5;2.4;3.1;7.8;15.7;0.499;0.502;3.4;4.7;0.713;0.538;19.4;0.17;1.1;0.001;0
Mookie Blaylock;1993-94;1990s;26;ATL;0.695;0.988;1;1;36;13.8;5.2;9.7;2.6;0.5;2.4;1.8;5.5;13.3;0.411;0.464;1.4;2;0.73;0.487;19.6;0.168;5.3;0.001;0
Alonzo Mourning;1993-94;1990s;23;CHH;0.5;0.732;0.983;1;33.6;21.5;10.2;1.4;0.5;3.1;3.3;3.5;7.1;14.1;0.505;0.505;7.2;9.5;0.762;0.588;21.7;0.151;0.5;0;0
Scottie Pippen;1993-94;1990s;28;CHI;0.671;0.878;1;1;38.3;22;8.7;5.6;2.9;0.8;3.2;3.2;8.7;17.8;0.491;0.515;3.8;5.7;0.66;0.544;23.2;0.194;8.3;0.386;0
Horace Grant;1993-94;1990s;28;CHI;0.671;0.854;0.986;2;36.7;15.1;11;3.4;1.1;1.2;1.6;2.3;6.6;12.5;0.524;0.524;2;3.3;0.596;0.54;19.8;0.188;5.2;0;0
Mark Price;1993-94;1990s;29;CLE;0.573;0.927;0.961;1;31.4;17.3;3;7.8;1.4;0.1;2.5;1.2;6.3;13.2;0.478;0.536;3.1;3.5;0.888;0.586;22.7;0.201;4.6;0.007;0
Brad Daugherty;1993-94;1990s;28;CLE;0.573;0.61;1;2;36.8;17;10.2;3;0.8;0.7;2.2;2.9;5.9;12.1;0.488;0.488;5.1;6.5;0.785;0.566;18.4;0.168;2.2;0;0
Dikembe Mutombo;1993-94;1990s;27;DEN;0.512;1;1;1;34.8;12;11.8;1.5;0.7;4.1;2.5;3.2;4.5;7.8;0.569;0.569;3.1;5.4;0.583;0.59;17.9;0.158;4.2;0;0
Joe Dumars;1993-94;1990s;30;DET;0.244;0.841;1;1;37.6;20.4;2.2;3.8;0.9;0.1;2.3;1.7;7.3;16.2;0.452;0.507;4;4.8;0.836;0.558;16.2;0.082;-0.5;0;0
Chris Webber;1993-94;1990s;20;GSW;0.61;0.927;1;2;32.1;17.5;9.1;3.6;1.2;2.2;2.7;3.3;7.5;13.6;0.552;0.552;2.5;4.7;0.532;0.559;21.7;0.154;5.3;0;0
Latrell Sprewell;1993-94;1990s;23;GSW;0.61;1;1;1;43.1;21;4.9;4.7;2.2;0.9;2.8;1.9;7.5;17.3;0.433;0.482;4.3;5.6;0.774;0.532;15.9;0.108;2;0.001;0
Hakeem Olajuwon;1993-94;1990s;31;HOU;0.707;0.976;1;1;41;27.3;11.9;3.6;1.6;3.7;3.4;3.6;11.2;21.2;0.528;0.53;4.9;6.8;0.716;0.565;25.3;0.21;7;0.88;1
Reggie Miller;1993-94;1990s;28;IND;0.573;0.963;1;1;33.4;19.9;2.7;3.1;1.5;0.3;2.2;2.4;6.6;13.2;0.503;0.562;5.1;5.6;0.908;0.636;20.2;0.212;4.1;0;0
Rik Smits;1993-94;1990s;27;IND;0.573;0.951;0.962;2;27.1;15.7;6.2;2;0.6;1.1;1.9;3.6;6.3;11.8;0.534;0.534;3.1;3.8;0.793;0.58;19.7;0.177;2.3;0;0
Vlade Divac;1993-94;1990s;25;LAL;0.402;0.963;0.924;1;34;14.2;10.8;3.9;1.2;1.4;2.4;3.6;5.7;11.3;0.506;0.511;2.6;3.8;0.686;0.546;18.8;0.132;3.8;0;0
Glen Rice;1993-94;1990s;26;MIA;0.512;0.988;1;1;37;21.1;5.4;2.3;1.4;0.4;1.6;2.3;8.2;17.5;0.467;0.513;3.1;3.5;0.88;0.552;18.5;0.163;1.8;0;0
Eric Murdock;1993-94;1990s;25;MIL;0.244;1;0.927;1;30.9;15.3;3.2;6.7;2.4;0.1;2.5;2.3;5.8;12.4;0.468;0.502;2.9;3.5;0.813;0.549;20.3;0.137;3.1;0;0
