Player;Season;Decade;Age;Team;Team_Win_Percentage;Games_Played_Percentage;Games_Started_Percentage;Player_Ranking;Minutes_Played_per_Game;Points_per_Game;Rebounds_per_Game ;Assists_per_Game ;Steals_per_Game;Blocks_per_Game;Turnovers_per_Game;Personal_Fouls_per_Game ;Field_Goals_Made_per_Game;Field_Goals_Attempted_per_Game;FG_Percentage;eFG_Percentage;Free_Throws_Made_per_Game;Free_Throws_Attempted_per_Game;FT_Percentage;TS_Percentage;PER;WS_per_48_Minutes;BPM;MVP_Share;MVP
Karl Malone;1986-87;1980s;23;UTA;0.537;1;1;1;34.8;21.7;10.4;1.9;1.3;0.7;2.9;3.9;8.9;17.3;0.512;0.512;3.9;6.6;0.598;0.536;18;0.116;1.6;0.004;0
Moses Malone;1986-87;1980s;31;WSB;0.512;0.89;0.959;1;34.1;24.1;11.3;1.6;0.8;1.3;2.8;1.9;8.2;18;0.454;0.454;7.8;9.5;0.824;0.545;23.8;0.182;1.9;0.012;0
Jeff Malone;1986-87;1980s;25;WSB;0.512;0.976;0.988;2;34.5;22;2.7;3.7;0.9;0.2;2.3;1.9;8.6;18.9;0.457;0.458;4.7;5.3;0.885;0.518;17;0.097;-0.9;0;0
Dominique Wilkins;1987-88;1980s;28;ATL;0.61;0.951;0.974;1;37.8;30.7;6.4;2.9;1.3;0.6;2.8;2.1;11.7;25.1;0.464;0.474;6.9;8.4;0.826;0.534;23.7;0.16;2.9;0.069;0
Doc Rivers;1987-88;1980s;26;ATL;0.61;0.976;1;2;31.3;14.2;4.6;9.3;1.8;0.5;2.6;3.4;5;11.1;0.453;0.458;4;5.3;0.758;0.527;20.4;0.159;4.9;0.059;0
Larry Bird;1987-88;1980s;31;BOS;0.695;0.927;0.987;1;39;29.9;9.3;6.1;1.6;0.8;2.8;2.1;11.6;22;0.527;0.556;5.5;6;0.916;0.608;27.8;0.243;8.8;0.659;0
Kevin McHale;1987-88;1980s;30;BOS;0.695;0.78;0.984;2;37.3;22.6;8.4;2.7;0.4;1.4;2.2;2.8;8.6;14.2;0.604;0.604;5.4;6.8;0.797;0.656;21.9;0.205;4.1;0;0
Michael Jordan;1987-88;1980s;24;CHI;0.61;1;1;1;40.4;35;5.5;5.9;3.2;1.6;3.1;3.3;13;24.4;0.535;0.537;8.8;10.5;0.841;0.603;31.7;0.308;12.2;0.831;1
Mark Price;1987-88;1980s;23;CLE;0.512;0.976;0.988;1;32.8;16;2.3;6;1.2;0.2;2.3;1.5;6.2;12.2;0.506;0.543;2.8;3.2;0.877;0.589;17.6;0.143;1.2;0;0
Mark Aguirre;1987-88;1980s;28;DAL;0.646;0.939;1;1;33.9;25.1;5.6;3.6;0.9;0.7;2.6;2.9;9.7;20.4;0.475;0.491;5;6.5;0.77;0.539;21.9;0.163;3.1;0.001;0
Derek Harper;1987-88;1980s;26;DAL;0.646;1;1;2;37;17;3;7.7;2;0.4;2.3;2;6.5;14.2;0.459;0.485;3.2;4.2;0.759;0.528;18.1;0.145;2.6;0;0
Alex English;1987-88;1980s;34;DEN;0.659;0.976;1;2;35.2;25;4.7;4.7;0.9;0.3;2.3;2.4;10.5;21.3;0.495;0.495;3.9;4.7;0.828;0.535;19.8;0.129;1.4;0.005;0
Fat Lever;1987-88;1980s;27;DEN;0.659;1;1;1;37.3;18.9;8.1;7.8;2.7;0.3;2.2;2.6;7.8;16.6;0.473;0.477;3;3.9;0.785;0.516;20.5;0.163;6.1;0.033;0
Adrian Dantley;1987-88;1980s;31;DET;0.659;0.841;0.725;2;31.1;20;3.3;2.5;0.6;0.1;2;2.1;6.4;12.5;0.514;0.514;7.1;8.3;0.86;0.619;19.9;0.21;2;0.001;0
Isiah Thomas;1987-88;1980s;26;DET;0.659;0.988;1;1;36.1;19.5;3.4;8.4;1.7;0.2;3.4;2.7;7.7;16.6;0.463;0.474;3.8;4.9;0.774;0.521;18.2;0.124;2.5;0.004;0
Chris Mullin;1987-88;1980s;24;GSW;0.244;0.732;0.917;1;33.9;20.2;3.4;4.8;1.9;0.5;2.6;2.3;7.8;15.4;0.508;0.526;4;4.5;0.885;0.58;19.8;0.121;2.3;0;0
Hakeem Olajuwon;1987-88;1980s;25;HOU;0.561;0.963;1;1;35.8;22.8;12.1;2.1;2.1;2.7;3.1;4.1;9;17.5;0.514;0.514;4.8;6.9;0.695;0.555;23.4;0.182;5;0.05;0
Byron Scott;1987-88;1980s;26;LAL;0.756;0.988;1;3;37.6;21.7;4.1;4.1;1.9;0.3;2;2.5;8.8;16.6;0.527;0.55;3.4;3.9;0.858;0.59;19.2;0.168;3.7;0;0
James Worthy;1987-88;1980s;26;LAL;0.756;0.915;0.96;2;35.4;19.7;5;3.9;1;0.7;2.1;2.3;8.2;15.5;0.531;0.532;3.2;4.1;0.796;0.571;18.2;0.143;2;0;0
Magic Johnson;1987-88;1980s;28;LAL;0.756;0.878;0.972;1;36.6;19.6;6.2;11.9;1.6;0.2;3.7;2;6.8;13.8;0.492;0.497;5.8;6.8;0.853;0.581;23.1;0.199;5.3;0.635;0
Buck Williams;1987-88;1980s;27;NJN;0.232;0.854;1;1;37.7;18.3;11.9;1.6;1;0.6;2.7;2.8;6.7;11.9;0.56;0.561;4.9;7.4;0.668;0.603;18.2;0.138;1.3;0.001;0
Patrick Ewing;1987-88;1980s;25;NYK;0.463;1;1;2;31;20.2;8.2;1.5;1.3;3;3.5;4;8;14.4;0.555;0.555;4.2;5.8;0.716;0.594;21.9;0.154;4.4;0;0
Mark Jackson;1987-88;1980s;22;NYK;0.463;1;0.976;1;39.6;13.6;4.8;10.6;2.5;0.1;3.1;3;5.3;12.4;0.432;0.448;2.5;3.2;0.774;0.493;15.7;0.113;2.8;0.003;0
Charles Barkley;1987-88;1980s;24;PHI;0.439;0.976;1;1;39.6;28.3;11.9;3.2;1.3;1.3;3.8;3.5;9.4;16;0.587;0.604;8.9;11.9;0.751;0.665;27.6;0.253;9;0.136;0
Clyde Drexler;1987-88;1980s;25;POR;0.646;0.988;0.988;1;37.8;27;6.6;5.8;2.5;0.6;2.9;3.1;10.5;20.7;0.506;0.509;5.9;7.2;0.811;0.564;24.1;0.207;7.4;0.108;0
Jerome Kersey;1987-88;1980s;25;POR;0.646;0.963;0.949;3;36.6;19.2;8.3;3.1;1.6;0.8;2;3.8;7.7;15.5;0.499;0.5;3.7;5;0.735;0.542;17.3;0.144;2.7;0;0
Terry Porter;1987-88;1980s;24;POR;0.646;1;1;2;36.5;14.9;4.6;10.1;1.8;0.2;3;2.5;5.6;10.9;0.519;0.533;3.3;4;0.846;0.592;18.1;0.157;2.4;0;0
Otis Thorpe;1987-88;1980s;25;SAC;0.293;1;1;1;37.5;20.8;10.2;3.2;0.8;0.7;2.8;3.2;7.6;15;0.507;0.507;5.6;7.4;0.755;0.57;18.7;0.126;2;0;0
Alvin Robertson;1987-88;1980s;25;SAS;0.378;1;1;1;36.3;19.6;6.1;6.8;3;0.8;3.1;3.7;8;17.2;0.465;0.475;3.3;4.5;0.748;0.513;18.9;0.094;4;0;0
Dale Ellis;1987-88;1980s;27;SEA;0.537;0.915;0.973;1;37.2;25.8;4.5;2.6;1;0.1;2.3;2.9;10.2;20.3;0.503;0.538;4;5.3;0.767;0.572;19.3;0.155;2.4;0;0
Xavier McDaniel;1987-88;1980s;24;SEA;0.537;0.951;0.987;2;34.7;21.4;6.6;3.4;1.2;0.7;2.9;2.9;8.8;18;0.488;0.493;3.6;5;0.715;0.528;18.2;0.11;1.8;0;0
Karl Malone;1987-88;1980s;24;UTA;0.573;1;1;1;39;27.7;12;2.4;1.4;0.6;4;3.6;10.5;20.1;0.52;0.52;6.7;9.6;0.7;0.568;20.7;0.152;2.5;0.045;0
John Stockton;1987-88;1980s;25;UTA;0.573;1;0.963;2;34.7;14.7;2.9;13.8;3;0.2;3.2;3;5.5;9.6;0.574;0.589;3.3;4;0.84;0.645;23.2;0.238;3.9;0.019;0
Moses Malone;1987-88;1980s;32;WSB;0.463;0.963;0.987;1;34.1;20.3;11.2;1.4;0.7;0.9;3.2;2;6.7;13.8;0.487;0.488;6.9;8.7;0.788;0.577;21.1;0.163;1.8;0;0
Dominique Wilkins;1988-89;1980s;29;ATL;0.634;0.976;1;1;37.5;26.2;6.9;2.6;1.5;0.7;2.3;1.7;10.2;22;0.464;0.472;5.5;6.6;0.844;0.528;21.8;0.166;2.6;0;0
Moses Malone;1988-89;1980s;33;ATL;0.634;0.988;0.988;2;35.5;20.2;11.8;1.4;1;1.2;3;1.9;6.6;13.5;0.491;0.491;6.9;8.8;0.789;0.581;21.2;0.178;2.1;0.004;0
Kevin McHale;1988-89;1980s;31;BOS;0.512;0.951;0.949;2;36.9;22.5;8.2;2.2;0.3;1.2;2.5;2.9;8.5;15.5;0.546;0.546;5.6;6.8;0.818;0.608;20.3;0.168;2.1;0;0
Robert Parish;1988-89;1980s;35;BOS;0.512;0.976;1;1;35.5;18.6;12.5;2.2;1;1.5;2.5;2.6;7.5;13.1;0.57;0.57;3.7;5.1;0.719;0.607;21.6;0.177;4.2;0.005;0
Michael Jordan;1988-89;1980s;25;CHI;0.573;0.988;1;1;40.2;32.5;8;8;2.9;0.8;3.6;3;11.9;22.2;0.538;0.546;8.3;9.8;0.85;0.614;31.1;0.292;12.6;0.704;0
Mark Price;1988-89;1980s;24;CLE;0.695;0.915;0.987;1;36.4;18.9;3;8.4;1.5;0.1;2.8;1.3;7.1;13.4;0.526;0.572;3.5;3.9;0.901;0.623;20.6;0.199;3.5;0.021;0
Brad Daugherty;1988-89;1980s;23;CLE;0.695;0.951;1;2;36.2;18.9;9.2;3.7;0.8;0.5;2.9;2.2;7;13;0.538;0.538;4.9;6.7;0.737;0.594;18.5;0.164;2.6;0.005;0
Ron Harper;1988-89;1980s;25;CLE;0.695;1;1;4;34.8;18.6;5;5.3;2.3;0.9;2.8;2.7;7.2;14;0.511;0.523;3.9;5.2;0.751;0.57;19.8;0.171;5.2;0;0
Larry Nance;1988-89;1980s;29;CLE;0.695;0.89;0.986;3;34.6;17.2;8;2.2;0.8;2.8;1.6;2.5;6.8;12.6;0.539;0.539;3.7;4.6;0.799;0.59;19.9;0.197;4;0.004;0
Fat Lever;1988-89;1980s;28;DEN;0.537;0.866;1;1;38.7;19.8;9.3;7.9;2.7;0.3;2.2;2.5;7.9;17.2;0.457;0.466;3.8;4.8;0.785;0.513;20.6;0.161;5.7;0;0
Alex English;1988-89;1980s;35;DEN;0.537;1;1;2;36.5;26.5;4;4.7;0.8;0.1;2.4;2.1;11.3;22.9;0.491;0.492;4;4.6;0.858;0.531;19;0.11;-0.2;0;0
Isiah Thomas;1988-89;1980s;27;DET;0.768;0.976;0.95;1;36.6;18.2;3.4;8.3;1.7;0.3;3.7;2.6;7.1;15.3;0.464;0.477;3.6;4.4;0.818;0.528;17.1;0.115;2.2;0.001;0
Joe Dumars;1988-89;1980s;25;DET;0.768;0.841;0.971;2;34.9;17.2;2.5;5.7;0.9;0.1;2.6;1.5;6.6;13.1;0.505;0.513;3.8;4.4;0.85;0.571;16.8;0.14;1.1;0.001;0
